,Candidate,Party,Vote Percentage,State,District,Incumbent,Winner,Money Raised,Money Spent
230,Charleston Malkemus,I,1.9,Florida,21,False,False,"28,928","28,636"
231,Ted Deutch,D,58.6,Florida,22,True,True,"1,364,438","1,265,494"
232,Jim Pruden,R,41.4,Florida,22,False,False,"278,416","278,416"
233,Debbie Wasserman,D,58.2,Florida,23,True,True,"2,191,922","1,979,903"
234,Carla Spalding,R,41.8,Florida,23,False,False,"919,579","903,561"
235,Frederica Wilson,D,75.6,Florida,24,True,True,"412,592","321,019"
236,Lavern Spicer,R,20.4,Florida,24,False,False,"34,973","34,909"
237,Christine Olivo,I,4.0,Florida,24,False,False,"31,646","32,898"
238,Mario Diaz-Balart,R,100.0,Florida,25,True,True,"1,590,134","804,054"
239,Debbie Mucarsel-Powell,D,48.3,Florida,26,True,False,"6,793,521","6,822,740"
240,Carlos Gimenez,R,51.7,Florida,26,False,True,"2,226,559","2,187,389"
241,Donna Shalala,D,48.6,Florida,27,True,False,"3,842,907","3,735,966"
242,Maria Salazar,R,51.4,Florida,27,False,True,"3,654,190","3,645,814"
243,Frank Polo,I,0,Florida,27,False,False,"4,606","4,662"
244,David Perdue,R,49.7,Georgia,2020,True,False,"102,253,913","89,886,197"
245,Jon Ossoff,D,48.0,Georgia,2020,False,True,"153,630,112","149,298,379"
246,Valencia Stovall,I,0,Georgia,2020,False,False,"23,107","23,107"
247,Allen Buckley,I,0,Georgia,2020,False,False,"14,097","14,097"
248,Raphael Warnock,D,0,Georgia,2020,False,False,"145,728,550","142,497,506"
249,Kelly Loeffler,R,0,Georgia,2020,True,False,"92,135,745","70,879,780"
250,Doug Collins,R,0,Georgia,2020,False,False,"6,705,461","6,684,689"
251,Matthew Lieberman,D,0,Georgia,2020,False,False,"1,339,527","1,337,326"
252,Ed Tarver,D,0,Georgia,2020,False,False,"285,234","282,834"
253,Wayne Johnson,R,0,Georgia,2020,False,False,"151,000","146,813"
254,Richard Dien,D,0,Georgia,2020,False,False,"61,020","55,517"
255,Tamara Johnson-Shealey,D,0,Georgia,2020,False,False,"59,891","64,259"
256,Derrick Grayson,R,0,Georgia,2020,False,False,"33,247","27,829"
257,Kandiss Taylor,R,0,Georgia,2020,False,False,"30,769","25,549"
258,Deborah Jackson,D,0,Georgia,2020,False,False,"19,089","20,502"
259,John Fortuin,3,0,Georgia,2020,False,False,"8,681","8,616"
260,Al Bartell,I,0,Georgia,2020,False,False,"7,754","7,822"
261,Brian Slowinski,L,0,Georgia,2020,False,False,"5,220","5,220"
262,Buddy Carter,R,58.4,Georgia,01,True,True,"2,315,487","1,734,754"
263,Joyce Griggs,D,41.7,Georgia,01,False,False,"130,043","125,000"
264,Sanford Bishop,D,59.1,Georgia,02,True,True,"1,540,683","1,440,571"
265,Don Cole,R,40.9,Georgia,02,False,False,"164,274","162,522"
266,Drew Ferguson,R,65.0,Georgia,03,True,True,"2,374,212","2,150,911"
267,Val Almonord,D,35.0,Georgia,03,False,False,"35,762","31,946"
268,Hank Johnson,D,80.1,Georgia,04,True,True,"628,303","490,360"
269,Johsira C.,R,19.9,Georgia,04,False,False,"12,954","23,146"
270,Robert Franklin,D,0,Georgia,05,False,False,"360,473","358,394"
271,Kwanza Hall,D,0,Georgia,05,False,False,"239,597","227,091"
272,Chase Oliver,L,0,Georgia,05,False,False,"9,225","5,220"
273,Steven Muhammad,I,0,Georgia,05,False,False,"3,497","$4,965"
274,Lucy McBath,D,54.6,Georgia,06,True,True,"8,507,298","8,586,054"
275,Karen Handel,R,45.4,Georgia,06,False,False,"3,026,243","3,072,932"
276,Carolyn Bourdeaux,D,54.4,Georgia,07,False,True,"5,133,244","5,161,230"
277,Richard McCormick,R,48.6,Georgia,07,False,False,"2,595,446","2,563,724"
278,Austin Scott,R,64.5,Georgia,08,True,True,"821,745","716,159"
279,Jimmy Cooper,3,35.5,Georgia,08,False,False,"8,542","8,528"
280,Lindsay Holliday,D,0,Georgia,08,False,False,"7,480","5,220"
281,Andrew Clyde,R,78.6,Georgia,09,False,True,"1,569,425","1,561,316"
282,Devin Pandy,D,21.4,Georgia,09,False,False,"84,272","84,623"
283,Jody Hice,R,62.3,Georgia,10,True,True,"595,947","457,648"
284,Tabitha Johnson-Green,D,37.7,Georgia,10,False,False,"14,808","12,214"
285,Barry Loudermilk,R,60.4,Georgia,11,True,True,"877,767","700,851"
286,Dana Barrett,D,39.6,Georgia,11,False,False,"404,625","394,977"
287,Richard W,R,58.4,Georgia,12,True,True,"1,228,970","662,818"
288,Liz Johnson,D,41.6,Georgia,12,False,False,"72,061","72,061"
289,David Scott,D,77.4,Georgia,13,True,True,"1,209,614","1,131,746"
290,Becky Hites,R,22.6,Georgia,13,False,False,"63,509","62,935"
291,Martin Cowen,L,0,Georgia,13,False,False,"13,460","13,464"
292,Marjorie Taylor,R,74.8,Georgia,14,False,True,"2,596,914","2,237,599"
293,Ed Case,D,64.7,Hawaii,01,True,False,"508,249","472,569"
294,Ron Curtis,R,25.1,Hawaii,01,False,False,"12,538","12,647"
295,Kai Kahele,D,57.9,Hawaii,02,False,True,"1,235,523","1,039,637"
296,Joe Akana,R,28.3,Hawaii,02,False,False,"54,534","55,344"
297,Jonathan Hoomanawanui,3,2.2,Hawaii,02,False,False,"1,883","1,522"
298,James E,R,62.6,Idaho,2020,True,True,"3,321,170","2,271,880"
299,Paulette Jordan,D,33.3,Idaho,2020,False,False,"1,111,148","1,095,995"
300,Ray J.,3,1.2,Idaho,2020,False,False,"4,190","3,311"
301,Russ Fulcher,R,67.8,Idaho,01,True,True,"575,485","508,457"
302,Rudy Soto,D,28.7,Idaho,01,False,False,"302,902","302,902"
303,Mike Simpson,R,64.1,Idaho,02,True,True,"1,008,847","1,099,604"
304,Aaron Swisher,D,31.7,Idaho,02,False,False,"70,674","70,268"
305,Dick Durbin,D,54.6,Illinois,2020,True,True,"10,431,747","10,097,276"
306,Willie Wilson,I,4.0,Illinois,2020,False,False,"1,250,621","1,227,349"
307,Mark Curran,R,38.7,Illinois,2020,False,False,"352,283","352,283"
308,Danny Malouf,L,1.8,Illinois,2020,False,False,"12,536","12,179"
309,Bobby Rush,D,73.8,Illinois,01,True,True,"541,435","496,454"
310,Philanise White,R,26.2,Illinois,01,False,False,"6,289","5,048"
311,Robin Kelly,D,78.8,Illinois,02,True,True,"1,634,783","1,108,137"
312,Marie Newman,D,56.4,Illinois,03,False,True,"2,802,093","2,699,323"
313,Mike Fricilone,R,43.6,Illinois,03,False,False,"128,458","127,980"
314,Jesus Garcia,D,16.0,Illinois,04,True,True,"822,846","711,159"
315,Jesus Solorio,R,84.0,Illinois,04,False,False,"2,065",843
316,Mike Quigley,D,70.8,Illinois,05,True,True,"1,171,507","926,655"
317,Sean Casten,D,52.8,Illinois,06,True,True,"5,582,179","5,313,570"
318,Jeanne Ives,R,45.4,Illinois,06,False,False,"3,157,771","3,135,464"
319,Bill Redpath,L,1.7,Illinois,06,False,False,"9,837","9,837"
320,Danny K,D,80.4,Illinois,07,True,True,"544,690","505,506"
321,Tracy Jennings,3,6.2,Illinois,07,False,False,"65,283","65,283"
322,Raja Krishnamoorthi,D,73.2,Illinois,08,True,True,"6,358,878","2,207,703"
323,Jan Schakowsky,D,71.0,Illinois,09,True,True,"1,834,801","1,514,838"
324,Sargis Sangari,R,29.0,Illinois,09,False,False,"35,364","34,715"
325,Brad Schneider,D,63.8,Illinois,10,True,True,"3,459,512","2,873,333"
326,Valerie Ramirez,R,36.2,Illinois,10,False,False,"130,225","64,764"
327,Bill Foster,D,63.3,Illinois,11,True,True,"2,381,354","1,823,906"
328,Rick Laib,R,36.7,Illinois,11,False,False,"20,343","20,064"
329,Mike Bost,R,60.6,Illinois,12,True,True,"1,918,041","1,509,573"
330,Ray Lenzi,D,39.4,Illinois,12,False,False,"161,324","104,809"
331,Rodney Davis,R,54.4,Illinois,13,True,True,"4,943,459","4,822,600"
332,Betsy Dirksen,D,45.6,Illinois,13,False,False,"5,297,007","5,281,880"
333,Lauren A,D,50.7,Illinois,14,True,True,"7,803,579","7,301,503"
334,Jim Oberweis,R,49.3,Illinois,14,False,False,"2,438,857","2,348,798"
335,Mary Miller,R,73.5,Illinois,15,False,True,"689,057","570,356"
336,Erika Weaver,D,26.5,Illinois,15,False,False,"58,689","23,349"
337,Adam Kinzinger,R,64.8,Illinois,16,True,True,"2,105,736","1,588,550"
338,Dani Brzozowski,D,35.2,Illinois,16,False,False,"459,344","376,167"
339,Cheri Bustos,D,52.0,Illinois,17,True,True,"4,975,192","6,391,009"
340,Esther Joy,R,48.0,Illinois,17,False,False,"2,032,878","2,030,587"
341,Darin LaHood,R,70.5,Illinois,18,True,True,"3,248,113","1,749,128"
342,Frank Mrvan,D,56.6,Indiana,01,False,True,"578,635","464,407"
343,Mark Leyva,R,40.4,Indiana,01,False,False,"16,551","15,343"
344,Jackie Walorski,R,61.5,Indiana,02,True,True,"2,383,467","1,698,202"
345,Pat Hackett,D,38.5,Indiana,02,False,False,"881,888","867,301"
346,Jim Banks,R,67.8,Indiana,03,True,True,"1,202,509","769,591"
347,Chip Coldiron,D,32.2,Indiana,03,False,False,"94,056","89,883"
348,Jim Baird,R,66.6,Indiana,04,True,True,"327,727","190,158"
349,Joe Mackey,D,33.4,Indiana,04,False,False,"44,585","43,213"
350,Christina Hale,D,45.9,Indiana,05,False,False,"4,010,368","3,998,905"
351,Victoria Spartz,R,50.0,Indiana,05,False,True,"3,119,328","3,010,203"
352,Greg Pence,R,68.7,Indiana,06,True,True,"3,114,448","2,804,148"
353,Jeannine Lee,D,27.7,Indiana,06,False,False,"143,089","145,315"
354,Andre Carson,D,62.4,Indiana,07,True,True,"1,011,635","873,962"
355,Susan Marie,R,37.6,Indiana,07,False,False,"62,905","59,843"
356,Larry Bucshon,R,66.9,Indiana,08,True,True,"1,051,336","1,078,646"
357,Thomasina Marsili,D,29.8,Indiana,08,False,False,"68,734","68,480"
358,Trey Hollingsworth,R,60.9,Indiana,09,True,True,"1,166,754","501,136"
359,Andy Ruff,D,34.8,Indiana,09,False,False,"148,263","134,906"
360,Tonya Millis,L,4.3,Indiana,09,False,False,"10,224","10,041"
